2026-01-04 20:43:20,524 INFO: Anonymous access - Endpoint: /courts/availability, IP: 127.0.0.1, User-Agent: Werkzeug/3.1.4 [in /Users/woifh/tcz/app/routes/courts.py:24]
2026-01-04 20:43:20,525 INFO: Anonymous access - Endpoint: /courts/availability, IP: 127.0.0.1, User-Agent: Werkzeug/3.1.4 [in /Users/woifh/tcz/app/routes/courts.py:24]
2026-01-04 20:43:21,069 WARNING: Rate limit exceeded for anonymous user - IP: None, Endpoint: courts.get_availability, User-Agent: Unknown [in /Users/woifh/tcz/app/routes/courts.py:33]
2026-01-04 22:48:40,623 INFO: Anonymous access - Endpoint: /courts/availability, IP: 127.0.0.1, User-Agent: Werkzeug/3.1.4 [in /Users/woifh/tcz/app/routes/courts.py:24]
2026-01-04 22:48:40,772 INFO: Anonymous access - Endpoint: /courts/availability, IP: 127.0.0.1, User-Agent: Werkzeug/3.1.4 [in /Users/woifh/tcz/app/routes/courts.py:24]
2026-01-04 22:48:40,913 INFO: Anonymous access - Endpoint: /courts/availability, IP: 127.0.0.1, User-Agent: Werkzeug/3.1.4 [in /Users/woifh/tcz/app/routes/courts.py:24]
2026-01-04 22:48:41,942 INFO: Anonymous access - Endpoint: /courts/availability, IP: 127.0.0.1, User-Agent: Werkzeug/3.1.4 [in /Users/woifh/tcz/app/routes/courts.py:24]
2026-01-04 22:48:42,210 INFO: Anonymous access - Endpoint: /courts/availability, IP: 127.0.0.1, User-Agent: Werkzeug/3.1.4 [in /Users/woifh/tcz/app/routes/courts.py:24]
2026-01-04 22:48:42,591 INFO: Anonymous access - Endpoint: /courts/availability, IP: 127.0.0.1, User-Agent: Werkzeug/3.1.4 [in /Users/woifh/tcz/app/routes/courts.py:24]
2026-01-04 22:48:42,741 INFO: Anonymous access - Endpoint: /courts/availability, IP: 127.0.0.1, User-Agent: Werkzeug/3.1.4 [in /Users/woifh/tcz/app/routes/courts.py:24]
2026-01-04 22:48:42,743 INFO: Anonymous access - Endpoint: /courts/availability, IP: 127.0.0.1, User-Agent: Werkzeug/3.1.4 [in /Users/woifh/tcz/app/routes/courts.py:24]
2026-01-04 22:48:42,745 INFO: Anonymous access - Endpoint: /courts/availability, IP: 127.0.0.1, User-Agent: Werkzeug/3.1.4 [in /Users/woifh/tcz/app/routes/courts.py:24]
2026-01-04 22:48:42,746 INFO: Anonymous access - Endpoint: /courts/availability, IP: 127.0.0.1, User-Agent: Werkzeug/3.1.4 [in /Users/woifh/tcz/app/routes/courts.py:24]
2026-01-04 22:48:42,747 INFO: Anonymous access - Endpoint: /courts/availability, IP: 127.0.0.1, User-Agent: Werkzeug/3.1.4 [in /Users/woifh/tcz/app/routes/courts.py:24]
2026-01-04 22:48:43,273 WARNING: Rate limit exceeded for anonymous user - IP: None, Endpoint: courts.get_availability, User-Agent: Unknown [in /Users/woifh/tcz/app/routes/courts.py:33]
